species_folder,chosen_wnid,opt1_wnid,opt1_labels,opt1_definition,opt2_wnid,opt2_labels,opt2_definition,opt3_wnid,opt3_labels,opt3_definition,opt4_wnid,opt4_labels,opt4_definition,opt5_wnid,opt5_labels,opt5_definition,opt6_wnid,opt6_labels,opt6_definition
ant,n02219486,n02219486,"ant, emmet, pismire",social insect living in organized colonies; characteristically the males and fertile queen have wings during breeding season; wingless sterile females are the workers,,,,,,,,,,,,,,,
antelope,n02419796,n02419796,antelope,graceful Old World ruminant with long legs and horns directed upward and backward; includes gazelles; springboks; impalas; addax; gerenuks; blackbucks; dik-diks,,,,,,,,,,,,,,,
armadillo,n02454379,n02454379,armadillo,burrowing chiefly nocturnal mammal with body covered with strong horny plates,,,,,,,,,,,,,,,
bat,n02139199,n02139199,"bat, chiropteran",nocturnal mouselike mammal with forelimbs modified to form membranous wings and anatomical adaptations for echolocation by which they navigate,n03132076,"cricket_bat, bat",the club used in playing cricket,n00458456,"bat, at-bat",(baseball) a turn trying to get a hit,n02806379,bat,a club used for hitting a ball in various games,n04292414,"squash_racket, squash_racquet, bat",a small racket with a long handle used for playing squash,,,
bear,n02131653,n02131653,bear,massive plantigrade carnivorous or omnivorous mammals with long shaggy coats and strong claws,n09845191,bear,an investor with a pessimistic market outlook; an investor who expects prices to fall and so sells now in order to buy later at a lower price,,,,,,,,,,,,
beaver,n02363005,n09745229,"Oregonian, Beaver",a native or resident of Oregon,n02363005,beaver,large semiaquatic rodent with webbed hind feet and a broad flat tail; construct complex dams and underwater lodges,n05262120,beaver,a full beard,n14764617,"beaver, beaver_fur",the soft brown fur of the beaver,n02818135,"beaver, castor",a hat made with the fur of a beaver (or similar material),n03237416,"dress_hat, high_hat, opera_hat, silk_hat, stovepipe, top_hat, topper, beaver",a man's hat with a tall crown; usually covered with silk or with beaver fur
beetle,n02164464,n02164464,beetle,insect having biting mouthparts and front wings modified to form horny covers overlying the membranous rear wings,n03715386,"mallet, beetle",a tool resembling a hammer but with a large head (usually wooden); used to drive wedges or ram down paving stones or for crushing or beating or flattening or smoothing,,,,,,,,,,,,
bird,n01503061,n09989045,"dame, doll, wench, skirt, chick, bird",informal terms for a (young) woman,n07123870,"boo, hoot, Bronx_cheer, hiss, raspberry, razzing, razz, snort, bird",a cry or noise made to express displeasure or contempt,n07644382,"bird, fowl",the flesh of a bird or fowl (wild or domestic) used as food,n01503061,bird,warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings,n04212282,"shuttlecock, bird, birdie, shuttle",badminton equipment consisting of a ball of cork or rubber with a crown of feathers,,,
bison,n02410509,n02410509,bison,any of several large humped bovids having shaggy manes and large heads and short horns,,,,,,,,,,,,,,,
boar,n02396427,n02396014,boar,an uncastrated male hog,n02396427,"wild_boar, boar, Sus_scrofa",Old World wild swine having a narrow body and prominent tusks from which most domestic swine come; introduced in United States,,,,,,,,,,,,
